Название команды,Итого
Against Fate,105
Ars Maleficarum,110
BrighTown,90
CC-Games,60
ChronoKatana,96
ConcordiaCraft,95
Confirmatio,105
Cubeacon,88
Dvergheim,93
Elemental Conquest,95
Elpirium,90
Enchanted Garden,94
habits.,97
HATA.RU Бесконтактная аренда,100
Kingdom of Nerds,100
neko-mission,110
OdorokiNeko,89
Odris,85
Paint it Black,85
RussTravel,76
SmartStudy,92
SpellScraper,90
StudyReady,104
Taski,109
TeamCraft,63
TeamSearch,75
The Train,101
YoungGardener,85
Время Преступлений,100
Жизнь Мирэи,43
Забытый мир,101
Клыки и Сталь,100
Ключник,60
Компаньон студента ЮФУ,60
Тренажер ЧГК,96
